ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,190.08,128,10.26,414.017,127,10.59,52184460
4096,2048,545.01,128,34.66,29.753,127,35.37,80373132
6144,2048,540.43,128,34.46,30.823,127,35.18,108561804
8192,2048,533.47,128,34.20,31.794,127,34.92,136750476
10240,2048,525.39,128,33.98,32.349,127,34.68,164939148
12288,2048,520.21,128,33.98,32.144,127,34.67,193127820
14336,2048,514.57,128,33.82,32.465,127,34.53,221316492
16384,2048,509.90,128,33.57,32.177,127,34.26,249505164
18432,2048,502.02,128,33.40,32.594,127,34.04,277693836
20480,2048,497.13,128,33.35,32.434,127,33.97,305882508
22528,2048,493.48,128,33.21,32.826,127,33.88,334071180
24576,2048,488.36,128,33.16,32.771,127,33.83,362259852
26624,2048,479.97,128,33.03,33.129,127,33.68,390448524
28672,2048,476.35,128,33.04,33.123,127,33.64,418637196
30720,2048,472.39,128,32.74,33.512,127,33.34,446825868
32768,2048,468.42,128,32.49,33.459,127,33.08,475014540
34816,2048,461.24,128,32.30,33.388,127,32.88,503203212
36864,2048,458.64,128,32.31,34.161,127,32.89,531391884
38912,2048,454.83,128,32.18,33.691,127,32.75,559580556
40960,2048,450.11,128,32.08,33.546,127,32.69,587769228
43008,2048,443.67,128,31.72,35.117,127,32.33,615957900
45056,2048,439.56,128,31.79,34.573,127,32.40,644146572
47104,2048,436.40,128,31.63,34.108,127,32.24,672335244
49152,2048,432.63,128,31.64,34.833,127,32.25,700523916
51200,2048,427.73,128,31.44,35.283,127,32.05,728712588
53248,2048,424.36,128,31.53,35.141,127,32.13,756901260
55296,2048,420.70,128,31.18,35.228,127,31.77,785089932
57344,2048,417.16,128,31.39,34.652,127,32.00,813278604
59392,2048,411.15,128,31.08,35.906,127,31.67,841467276
61440,2048,409.27,128,30.96,35.877,127,31.54,869655948
63488,2048,406.26,128,30.83,35.807,127,31.37,897844620
65536,2048,403.30,128,30.51,37.810,127,31.04,0
