ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,596.78,128,37.32,31.197,127,38.17,52184460
4096,2048,544.09,128,34.51,30.047,127,35.22,80373132
6144,2048,538.51,128,34.28,31.884,127,35.00,108561804
8192,2048,532.10,128,34.07,32.041,127,34.78,136750476
10240,2048,523.59,128,33.87,32.217,127,34.57,164939148
12288,2048,518.54,128,33.88,32.447,127,34.58,193127820
14336,2048,513.78,128,33.72,32.436,127,34.41,221316492
16384,2048,508.52,128,33.43,32.503,127,34.11,249505164
18432,2048,500.69,128,33.29,32.775,127,33.96,277693836
20480,2048,496.36,128,33.22,32.883,127,33.89,305882508
22528,2048,492.10,128,33.13,32.898,127,33.80,334071180
24576,2048,487.48,128,33.12,32.896,127,33.80,362259852
26624,2048,479.50,128,32.99,33.844,127,33.66,390448524
28672,2048,474.97,128,32.93,33.054,127,33.59,418637196
30720,2048,470.72,128,32.81,33.275,127,33.46,446825868
32768,2048,466.85,128,32.55,34.221,127,33.22,475014540
34816,2048,459.73,128,32.33,33.734,127,32.98,503203212
36864,2048,456.94,128,32.31,34.346,127,32.95,531391884
38912,2048,453.63,128,32.17,33.835,127,32.80,559580556
40960,2048,449.36,128,32.13,34.748,127,32.77,587769228
43008,2048,443.00,128,31.96,34.147,127,32.60,615957900
45056,2048,438.73,128,31.95,34.086,127,32.58,644146572
47104,2048,435.34,128,31.80,34.587,127,32.42,672335244
49152,2048,432.29,128,31.76,35.155,127,32.38,700523916
51200,2048,427.21,128,31.64,34.803,127,32.25,728712588
53248,2048,423.87,128,31.58,34.824,127,32.21,756901260
55296,2048,420.08,128,31.43,35.012,127,32.04,785089932
57344,2048,416.89,128,31.41,35.428,127,32.02,813278604
59392,2048,410.89,128,31.25,35.365,127,31.84,841467276
61440,2048,408.86,128,31.20,36.338,127,31.81,869655948
63488,2048,406.04,128,31.05,35.654,127,31.66,897844620
65536,2048,402.63,128,30.72,39.509,127,31.33,0
