ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,632.90,128,39.49,30.221,127,39.59,52184460
4096,2048,575.43,128,36.44,29.733,127,36.50,80373132
6144,2048,569.95,128,36.23,31.643,127,36.31,108561804
8192,2048,563.11,128,35.95,30.938,127,36.02,136750476
10240,2048,553.98,128,35.70,32.155,127,35.77,164939148
12288,2048,548.25,128,35.66,31.949,127,35.74,193127820
14336,2048,542.53,128,35.51,32.251,127,35.59,221316492
16384,2048,536.77,128,35.20,32.410,127,35.27,249505164
18432,2048,528.44,128,35.02,32.626,127,35.09,277693836
20480,2048,523.02,128,34.97,32.869,127,35.05,305882508
22528,2048,518.07,128,34.80,33.007,127,34.87,334071180
24576,2048,512.70,128,34.76,33.027,127,34.83,362259852
26624,2048,503.79,128,34.63,32.795,127,34.70,390448524
28672,2048,499.18,128,34.57,33.196,127,34.64,418637196
30720,2048,494.72,128,34.47,33.246,127,34.54,446825868
32768,2048,489.92,128,34.13,33.251,127,34.20,475014540
34816,2048,482.51,128,33.81,33.568,127,33.88,503203212
36864,2048,479.43,128,24.03,33.415,127,24.00,531391884
38912,2048,438.82,128,21.62,45.645,127,21.63,559580556
40960,2048,178.79,128,2.30,414.794,127,2.30,587769228
43008,2048,175.60,128,3.49,491.360,127,3.51,615957900
45056,2048,425.36,128,10.53,45.177,127,10.49,644146572
47104,2048,246.46,128,26.80,260.694,127,28.14,672335244
49152,2048,452.05,128,33.32,34.099,127,33.39,700523916
51200,2048,445.11,128,33.14,34.970,127,33.21,728712588
53248,2048,442.10,128,33.10,34.409,127,33.17,756901260
55296,2048,438.93,128,32.89,35.231,127,32.96,785089932
57344,2048,435.16,128,32.91,34.891,127,32.97,813278604
59392,2048,428.50,128,32.74,35.300,127,32.81,841467276
61440,2048,426.39,128,32.60,35.516,127,32.66,869655948
63488,2048,417.20,128,32.33,35.660,127,32.39,897844620
65536,2048,414.10,128,31.95,38.584,127,32.04,0
