id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	24	24	3.818393443	0.159099727	1	21	24	24	0.063055503	-0.044788358	480	475	0.989583333	24	22	0.916666667	475	423	0.890526316	475	0.510174842	0.072343091	4400	3998	0.908636364
case_001	24	24	8.517014670	0.354875611	1	16	24	24	0.077619944	0.017049114	480	475	0.989583333	24	22	0.916666667	475	419	0.882105263	475	0.457716193	-0.012590696	4392	3885	0.884562842
case_002	25	24	5.576355433	0.232348143	1	24	24	24	0.050943521	-0.018389021	480	478	0.995833333	24	24	1.000000000	478	428	0.895397490	478	0.471061172	0.220077888	4455	4061	0.911560045
case_003	25	24	2.868283591	0.119511816	1	24	24	24	0.022646962	0.002529758	480	480	1.000000000	24	24	1.000000000	480	438	0.912500000	480	0.408080997	-0.004063957	4476	3975	0.888069705
case_004	22	24	5.897720644	0.245738360	1	22	24	24	0.075495820	-0.013607580	480	480	1.000000000	24	22	0.916666667	480	436	0.908333333	480	0.363985207	-0.140452140	4491	4101	0.913159653
case_005	20	24	4.437412218	0.184892176	0	0	24	24	0.068710750	-0.033693850	480	479	0.997916667	24	23	0.958333333	479	419	0.874739040	479	0.472834241	-0.036277221	4478	4005	0.894372488
case_006	24	24	3.491018683	0.145459112	1	24	24	24	0.052789110	-0.040819686	480	480	1.000000000	24	24	1.000000000	480	421	0.877083333	480	0.460452036	0.259176968	4489	4101	0.913566496
case_007	21	24	8.393015845	0.349708994	1	15	24	24	0.077518577	-0.025383265	480	478	0.995833333	24	22	0.916666667	478	423	0.884937238	478	0.455211622	-0.058668591	4446	3961	0.890913180
case_008	26	24	8.062808781	0.335950366	1	9	24	24	0.056501882	-0.014851016	480	479	0.997916667	24	22	0.916666667	479	420	0.876826722	479	0.448274959	-0.047701923	4481	4028	0.898906494
case_009	21	24	6.089371038	0.253723793	1	12	24	24	0.093674550	-0.041993280	480	478	0.995833333	24	22	0.916666667	478	423	0.884937238	478	0.498785327	-0.084233534	4455	3968	0.890684624
case_010	29	24	5.068869792	0.211202908	1	6	24	24	0.062907435	-0.055108378	480	478	0.995833333	24	22	0.916666667	478	425	0.889121339	478	0.536603849	0.266387339	4458	4003	0.897936294
case_011	26	24	6.795358002	0.283139917	0	0	24	24	0.125934852	-0.107858392	480	469	0.977083333	24	22	0.916666667	469	413	0.880597015	469	0.448482735	0.007468628	4283	3819	0.891664721
case_012	26	24	6.064473401	0.252686392	1	10	24	24	0.130484971	-0.080691983	480	479	0.997916667	24	20	0.833333333	479	417	0.870563674	479	0.615932393	0.012952418	4468	3895	0.871754700
case_013	26	24	9.755888427	0.406495351	0	0	24	24	0.197545116	-0.168510949	480	480	1.000000000	24	21	0.875000000	480	423	0.881250000	480	0.519434642	0.093756003	4482	4012	0.895136100
case_014	27	24	7.389814805	0.307908950	1	20	24	24	0.066137325	-0.037910911	480	478	0.995833333	24	23	0.958333333	478	421	0.880753138	478	0.433329448	-0.042776924	4450	4015	0.902247191
case_015	26	24	6.320888274	0.263370345	1	17	24	24	0.088185330	-0.028747256	480	474	0.987500000	24	22	0.916666667	474	413	0.871308017	474	0.503031533	0.060154968	4362	3872	0.887666208
