id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	24	24	3.543572738	0.147648864	1	23	24	24	0.048008608	-0.033337495	480	475	0.989583333	24	23	0.958333333	475	420	0.884210526	475	0.511452067	-0.139304861	4400	3940	0.895454545
case_001	24	24	8.843416251	0.368475677	1	17	24	24	0.096628317	0.003449048	480	475	0.989583333	24	23	0.958333333	475	421	0.886315789	475	0.472858458	-0.182693269	4392	3872	0.881602914
case_002	25	24	5.950180894	0.247924204	1	24	24	24	0.062672100	-0.033965082	480	478	0.995833333	24	24	1.000000000	478	428	0.895397490	478	0.429712912	0.122635824	4455	4043	0.907519641
case_003	25	24	3.199102009	0.133295917	1	24	24	24	0.022031554	-0.011254342	480	480	1.000000000	24	24	1.000000000	480	433	0.902083333	480	0.450066381	0.006229654	4476	3938	0.879803396
case_004	22	24	7.244233935	0.301843081	0	0	24	24	0.081725191	-0.069712301	480	480	1.000000000	24	21	0.875000000	480	433	0.902083333	480	0.350654686	-0.043165070	4491	4115	0.916276998
case_005	20	24	4.122018394	0.171750766	0	0	24	24	0.064705615	-0.020552441	480	479	0.997916667	24	23	0.958333333	479	420	0.876826722	479	0.599595703	-0.351681418	4478	4027	0.899285395
case_006	24	24	3.205138998	0.133547458	1	24	24	24	0.043379422	-0.028908032	480	480	1.000000000	24	24	1.000000000	480	422	0.879166667	480	0.434180019	0.175039811	4489	4102	0.913789263
case_007	21	24	7.685759128	0.320239964	1	24	24	24	0.082988876	0.004085765	480	478	0.995833333	24	24	1.000000000	478	426	0.891213389	478	0.455412022	0.006366838	4446	3972	0.893387314
case_008	26	24	8.087908061	0.336996169	1	20	24	24	0.095514278	-0.015896819	480	479	0.997916667	24	23	0.958333333	479	409	0.853862213	479	0.479562787	-0.097315583	4481	4017	0.896451685
case_009	21	24	7.489282236	0.312053426	1	12	24	24	0.118509232	-0.100322913	480	478	0.995833333	24	22	0.916666667	478	420	0.878661088	478	0.552083258	-0.011533994	4455	3904	0.876318743
case_010	29	24	5.856306659	0.244012777	1	20	24	24	0.102108421	-0.087918248	480	478	0.995833333	24	23	0.958333333	478	434	0.907949791	478	0.470406418	0.121395378	4458	3981	0.893001346
case_011	26	24	6.027456770	0.251144032	0	0	24	24	0.099096953	-0.075862508	480	469	0.977083333	24	22	0.916666667	469	416	0.886993603	469	0.440162451	-0.154799959	4283	3824	0.892832127
case_012	26	24	4.711488297	0.196312012	1	24	24	24	0.070285712	-0.024317604	480	479	0.997916667	24	24	1.000000000	479	424	0.885177453	479	0.575775278	0.147258738	4468	3931	0.879811996
case_013	26	24	8.432571579	0.351357149	1	3	24	24	0.152219820	-0.113372747	480	480	1.000000000	24	22	0.916666667	480	418	0.870833333	480	0.560149156	0.023949288	4482	3971	0.885988398
case_014	27	24	7.400561519	0.308356730	1	1	24	24	0.063224524	-0.038358691	480	478	0.995833333	24	23	0.958333333	478	421	0.880753138	478	0.419308401	-0.024516392	4450	4027	0.904943820
case_015	26	24	6.357422799	0.264892617	1	23	24	24	0.041747045	-0.030269528	480	474	0.987500000	24	23	0.958333333	474	424	0.894514768	474	0.450872850	-0.056302984	4362	3890	0.891792756
