id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	24	24	2.748058493	0.114502437	1	24	24	24	0.013513761	-0.000191068	480	475	0.989583333	24	24	1.000000000	475	442	0.930526316	475	0.347416833	-0.226439078	4400	4127	0.937954545
case_001	24	24	8.553817661	0.356409069	1	17	24	24	0.042924365	0.015515656	480	475	0.989583333	24	23	0.958333333	475	443	0.932631579	475	0.258985491	-0.125271111	4392	4118	0.937613843
case_002	25	24	5.155647758	0.214818657	1	24	24	24	0.032271888	-0.000859535	480	478	0.995833333	24	24	1.000000000	478	449	0.939330544	478	0.265199103	-0.105933897	4455	4218	0.946801347
case_003	25	24	2.859266258	0.119136094	1	24	24	24	0.022455598	0.002905481	480	480	1.000000000	24	24	1.000000000	480	457	0.952083333	480	0.248010719	-0.091512019	4476	4216	0.941912422
case_004	22	24	6.357290004	0.264887083	1	22	24	24	0.035800401	-0.032756304	480	480	1.000000000	24	22	0.916666667	480	459	0.956250000	480	0.192059017	0.070550113	4491	4309	0.959474505
case_005	20	24	4.237005360	0.176541890	0	0	24	24	0.033751217	-0.025343564	480	479	0.997916667	24	23	0.958333333	479	447	0.933194154	479	0.273764966	-0.077070032	4478	4214	0.941045109
case_006	24	24	2.615826337	0.108992764	1	24	24	24	0.015652936	-0.004353338	480	480	1.000000000	24	24	1.000000000	480	450	0.937500000	480	0.200908594	-0.067530320	4489	4314	0.961015816
case_007	21	24	8.448260242	0.352010843	1	24	24	24	0.038632205	-0.027685115	480	478	0.995833333	24	24	1.000000000	478	444	0.928870293	478	0.243060737	0.103565563	4446	4209	0.946693657
case_008	26	24	7.785405781	0.324391908	1	20	24	24	0.046209465	-0.003292557	480	479	0.997916667	24	23	0.958333333	479	450	0.939457203	479	0.212772367	-0.010557510	4481	4234	0.944878375
case_009	21	24	6.391571600	0.266315483	1	3	24	24	0.067914754	-0.054584970	480	478	0.995833333	24	23	0.958333333	478	433	0.905857741	478	0.423401357	-0.113732733	4455	4068	0.913131313
