id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	24	24	3.124848009	0.130202000	1	24	24	24	0.025929840	-0.015890631	480	475	0.989583333	24	24	1.000000000	475	443	0.932631579	475	0.371885445	0.161485599	4400	4142	0.941363636
case_001	24	24	8.676694173	0.361528924	1	16	24	24	0.059225492	0.010395801	480	475	0.989583333	24	22	0.916666667	475	438	0.922105263	475	0.269430426	-0.029994363	4392	4052	0.922586521
case_002	25	24	5.144108961	0.214337873	1	24	24	24	0.037918818	-0.000378751	480	478	0.995833333	24	24	1.000000000	478	444	0.928870293	478	0.257286222	0.047644605	4455	4232	0.949943883
case_003	25	24	2.703827118	0.112659463	1	24	24	24	0.017262403	0.009382111	480	480	1.000000000	24	24	1.000000000	480	455	0.947916667	480	0.262103502	-0.002768897	4476	4196	0.937444147
case_004	22	24	5.238817801	0.218284075	1	24	24	24	0.033704755	0.013846705	480	480	1.000000000	24	24	1.000000000	480	455	0.947916667	480	0.256988879	-0.196233299	4491	4284	0.953907816
case_005	20	24	4.158875608	0.173286484	0	0	24	24	0.031432778	-0.022088158	480	479	0.997916667	24	23	0.958333333	479	453	0.945720251	479	0.242245820	0.123014495	4478	4213	0.940821795
case_006	24	24	3.351002900	0.139625121	1	24	24	24	0.035442945	-0.034985695	480	480	1.000000000	24	24	1.000000000	480	441	0.918750000	480	0.300044592	0.179521070	4489	4242	0.944976609
case_007	21	24	8.446038252	0.351918261	1	18	24	24	0.049367859	-0.027592532	480	478	0.995833333	24	23	0.958333333	478	442	0.924686192	478	0.243793043	0.011978356	4446	4179	0.939946019
case_008	26	24	8.261701554	0.344237565	1	9	24	24	0.073835055	-0.023138215	480	479	0.997916667	24	21	0.875000000	479	450	0.939457203	479	0.277614515	-0.123508698	4481	4196	0.936398125
case_009	21	24	5.557965447	0.231581894	1	23	24	24	0.050284905	-0.019851380	480	478	0.995833333	24	23	0.958333333	478	446	0.933054393	478	0.307957718	-0.096825892	4455	4154	0.932435466
case_010	29	24	3.682840699	0.153451696	1	24	24	24	0.040503088	0.002642834	480	478	0.995833333	24	24	1.000000000	478	447	0.935146444	478	0.365672109	0.137808609	4458	4155	0.932032301
case_011	26	24	4.495072391	0.187294683	1	24	24	24	0.019252958	-0.012013159	480	469	0.977083333	24	24	1.000000000	469	441	0.940298507	469	0.316671109	0.162099657	4283	3986	0.930656082
case_012	26	24	4.999365953	0.208306915	1	13	24	24	0.055773261	-0.036312506	480	479	0.997916667	24	22	0.916666667	479	444	0.926931106	479	0.425458350	-0.144848910	4468	4103	0.918307968
case_013	26	24	7.119125753	0.296630240	0	0	24	24	0.071199561	-0.058645837	480	480	1.000000000	24	22	0.916666667	480	444	0.925000000	480	0.324574028	-0.001672849	4482	4163	0.928826417
case_014	27	24	6.741638512	0.280901605	1	24	24	24	0.031626521	-0.010903566	480	478	0.995833333	24	24	1.000000000	478	441	0.922594142	478	0.230280100	-0.029821395	4450	4202	0.944269663
case_015	26	24	6.142022989	0.255917625	1	17	24	24	0.050649678	-0.021294536	480	474	0.987500000	24	22	0.916666667	474	434	0.915611814	474	0.368777555	0.209005005	4362	4028	0.923429619
case_016	25	24	7.311590864	0.304649619	0	0	24	24	0.113378400	-0.070882385	480	477	0.993750000	24	23	0.958333333	477	402	0.842767296	477	0.843673865	-0.397579029	4437	3770	0.849673203
case_017	32	24	4.992561467	0.208023394	1	24	24	24	0.032093610	-0.005458135	480	478	0.995833333	24	24	1.000000000	478	439	0.918410042	478	0.294939316	0.007596491	4451	4134	0.928780049
case_018	28	24	4.088259567	0.170344149	1	24	24	24	0.032846484	-0.007324581	480	480	1.000000000	24	24	1.000000000	480	458	0.954166667	480	0.307772912	-0.008048053	4489	4170	0.928937403
case_019	23	24	4.777540667	0.199064194	1	24	24	24	0.030167543	-0.008228295	480	472	0.983333333	24	24	1.000000000	472	438	0.927966102	472	0.342510091	0.054113776	4332	3976	0.917820868
case_020	24	24	4.155826587	0.173159441	1	24	24	24	0.033383757	-0.018814974	480	480	1.000000000	24	24	1.000000000	480	460	0.958333333	480	0.437139669	0.334342213	4485	4170	0.929765886
case_021	24	24	0.656589993	0.027357916	1	24	24	24	0.011045248	0.008233028	480	466	0.970833333	24	24	1.000000000	466	429	0.920600858	466	0.314904641	-0.033275515	4225	3885	0.919526627
case_022	22	24	3.299349882	0.137472912	1	24	24	24	0.015614542	0.007120636	480	478	0.995833333	24	24	1.000000000	478	460	0.962343096	478	0.235049744	0.043797196	4460	4235	0.949551570
case_023	20	24	4.374052179	0.182252174	1	18	24	24	0.038084507	0.000619811	480	474	0.987500000	24	23	0.958333333	474	446	0.940928270	474	0.227093756	0.083544833	4387	4172	0.950991566
case_024	21	24	7.269866150	0.302911090	0	0	24	24	0.071454560	-0.056274244	480	477	0.993750000	24	22	0.916666667	477	445	0.932914046	477	0.297344336	-0.077738949	4403	4065	0.923234159
case_025	26	24	5.872076018	0.244669834	1	10	24	24	0.044939504	-0.015782929	480	476	0.991666667	24	22	0.916666667	476	451	0.947478992	476	0.287845133	-0.007604477	4420	4113	0.930542986
case_026	22	24	2.485027036	0.103542793	1	24	24	24	0.022114931	0.009260078	480	477	0.993750000	24	24	1.000000000	477	447	0.937106918	477	0.338840452	-0.202307476	4432	4115	0.928474729
case_027	21	24	4.677637471	0.194901561	1	24	24	24	0.029565493	0.006116367	480	480	1.000000000	24	24	1.000000000	480	441	0.918750000	480	0.235251664	0.038197408	4488	4188	0.933155080
case_028	23	24	4.329174823	0.180382284	1	17	24	24	0.031856028	-0.024932737	480	480	1.000000000	24	23	0.958333333	480	443	0.922916667	480	0.217766670	-0.010247711	4472	4183	0.935375671
case_029	24	24	4.652006689	0.193833612	1	24	24	24	0.031869270	0.008921156	480	478	0.995833333	24	24	1.000000000	478	437	0.914225941	478	0.288400777	0.017734528	4431	4111	0.927781539
case_030	28	24	2.569504396	0.107062683	0	0	24	24	0.022362417	-0.007843837	480	479	0.997916667	24	23	0.958333333	479	454	0.947807933	479	0.313941752	-0.009500544	4481	4214	0.940415086
case_031	25	24	1.152293126	0.048012214	1	24	24	24	0.011438794	-0.001563154	480	467	0.972916667	24	24	1.000000000	467	430	0.920770878	467	0.365150001	-0.183579332	4251	3925	0.923312162
case_032	22	24	7.012739013	0.292197459	0	0	24	24	0.089564352	-0.083508244	480	480	1.000000000	24	20	0.833333333	480	454	0.945833333	480	0.299880636	0.004696841	4478	4215	0.941268423
case_033	21	24	6.374701015	0.265612542	0	0	24	24	0.083738878	-0.061760004	480	478	0.995833333	24	22	0.916666667	478	442	0.924686192	478	0.291886223	0.079555251	4463	4208	0.942863545
case_034	26	26	16.160630848	0.621562725	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_035	26	24	2.333728342	0.097238681	1	24	24	24	0.035130439	-0.004435740	480	478	0.995833333	24	24	1.000000000	478	451	0.943514644	478	0.290873623	0.079152513	4451	4216	0.947202876
case_036	25	24	3.755057453	0.156460727	1	24	24	24	0.018321583	0.002058847	480	474	0.987500000	24	24	1.000000000	474	438	0.924050633	474	0.361287260	-0.125202404	4374	4036	0.922725194
case_037	24	24	5.400556438	0.225023185	1	16	24	24	0.039481669	-0.004699107	480	478	0.995833333	24	23	0.958333333	478	450	0.941422594	478	0.307651602	0.003981280	4475	4226	0.944357542
case_038	29	24	6.361001975	0.265041749	1	8	24	24	0.047736157	-0.001365237	480	478	0.995833333	24	23	0.958333333	478	447	0.935146444	478	0.316567574	-0.163733051	4453	4202	0.943633506
case_039	27	24	7.814572568	0.325607190	1	20	24	24	0.080332672	0.019711341	480	473	0.985416667	24	23	0.958333333	473	432	0.913319239	473	0.367851767	-0.072117471	4372	3994	0.913540714
case_040	27	24	5.248922759	0.218705115	1	24	24	24	0.036560554	0.005856286	480	479	0.997916667	24	24	1.000000000	479	444	0.926931106	479	0.283792602	-0.010666919	4472	4212	0.941860465
case_041	21	24	3.957363746	0.164890156	1	24	24	24	0.042943790	0.005297837	480	479	0.997916667	24	24	1.000000000	479	436	0.910229645	479	0.443730843	-0.310904347	4480	4144	0.925000000
case_042	20	24	11.687958452	0.486998269	1	7	24	24	0.069321808	0.013464554	480	480	1.000000000	24	21	0.875000000	480	451	0.939583333	480	0.261134471	0.085202059	4478	4158	0.928539527
case_043	24	24	1.235897152	0.051495715	1	24	24	24	0.020785572	-0.020664349	480	466	0.970833333	24	24	1.000000000	466	409	0.877682403	466	0.549128597	-0.160231729	4231	3774	0.891987710
case_044	25	24	2.550130349	0.106255431	1	24	24	24	0.018392592	-0.011028878	480	480	1.000000000	24	24	1.000000000	480	442	0.920833333	480	0.308100115	0.165788801	4490	4204	0.936302895
case_045	25	24	4.957711205	0.206571300	1	24	24	24	0.027159954	0.002309856	480	480	1.000000000	24	24	1.000000000	480	451	0.939583333	480	0.326580533	-0.088449792	4467	4067	0.910454444
case_046	25	24	2.614171671	0.108923820	1	22	24	24	0.038710046	-0.030289085	480	478	0.995833333	24	23	0.958333333	478	441	0.922594142	478	0.348054599	0.287608334	4448	4161	0.935476619
case_047	22	24	7.027720459	0.292821686	1	4	24	24	0.028901441	-0.005365515	480	479	0.997916667	24	22	0.916666667	479	441	0.920668058	479	0.269685182	-0.120422042	4470	4189	0.937136465
case_048	24	24	4.901134111	0.204213921	1	21	24	24	0.036579522	-0.013003546	480	476	0.991666667	24	23	0.958333333	476	443	0.930672269	476	0.506346084	-0.276385904	4408	4011	0.909936479
case_049	26	24	1.717813849	0.071575577	1	24	24	24	0.014129469	-0.009375731	480	479	0.997916667	24	24	1.000000000	479	445	0.929018789	479	0.260825465	-0.065153511	4460	4182	0.937668161
case_050	28	24	6.072698268	0.253029095	1	18	24	24	0.057996579	-0.014299507	480	478	0.995833333	24	23	0.958333333	478	447	0.935146444	478	0.345845449	-0.139141440	4474	4207	0.940321860
case_051	24	24	7.918402359	0.329933432	1	12	24	24	0.071032426	-0.037267204	480	478	0.995833333	24	23	0.958333333	478	443	0.926778243	478	0.297993794	0.111776822	4448	4154	0.933902878
case_052	22	24	6.902137960	0.287589082	0	0	24	24	0.057153895	-0.037165597	480	479	0.997916667	24	23	0.958333333	479	444	0.926931106	479	0.339229810	-0.010019492	4464	4132	0.925627240
case_053	25	29	30.652467898	1.056981652	1	23	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_054	26	24	5.776153076	0.240673045	1	1	24	24	0.040749846	0.001544345	480	479	0.997916667	24	23	0.958333333	479	448	0.935281837	479	0.295576922	-0.097154907	4470	4162	0.931096197
case_055	30	24	8.312031121	0.346334630	0	0	24	24	0.188354171	-0.142756467	480	480	1.000000000	24	23	0.958333333	480	409	0.852083333	480	0.666006405	-0.017311122	4496	3789	0.842749110
case_056	24	24	2.095816524	0.087325688	1	24	24	24	0.014646134	0.000210016	480	477	0.993750000	24	24	1.000000000	477	443	0.928721174	477	0.286940511	0.123767806	4439	4169	0.939175490
case_057	27	24	3.611082178	0.150461757	1	24	24	24	0.026205070	0.009010740	480	478	0.995833333	24	24	1.000000000	478	443	0.926778243	478	0.262705478	-0.071299607	4446	4214	0.947818264
case_058	28	26	17.685339897	0.680205381	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_059	26	24	7.044347707	0.293514488	1	6	24	24	0.043416768	-0.007440259	480	478	0.995833333	24	21	0.875000000	478	442	0.924686192	478	0.288736610	-0.105497318	4453	4201	0.943408938
case_060	23	24	1.419774834	0.059157285	1	24	24	24	0.015777877	-0.015748495	480	474	0.987500000	24	24	1.000000000	474	436	0.919831224	474	0.314527133	0.057721404	4379	4053	0.925553779
case_061	23	24	6.108344489	0.254514354	1	16	24	24	0.079982999	-0.046445206	480	480	1.000000000	24	22	0.916666667	480	445	0.927083333	480	0.304345321	0.034920994	4487	4207	0.937597504
case_062	20	24	1.424004763	0.059333532	1	24	24	24	0.027063362	-0.002755560	480	475	0.989583333	24	24	1.000000000	475	441	0.928421053	475	0.426893755	0.328333462	4405	4116	0.934392736
case_063	21	24	4.969460604	0.207060859	1	1	24	24	0.056764755	-0.021836717	480	479	0.997916667	24	23	0.958333333	479	442	0.922755741	479	0.319291364	-0.151291823	4481	4195	0.936174961
case_064	19	24	3.184138261	0.132672428	0	0	24	24	0.047159910	-0.035453596	480	478	0.995833333	24	23	0.958333333	478	444	0.928870293	478	0.381521248	0.295133484	4463	4180	0.936589738
case_065	20	24	3.144930964	0.131038790	1	10	24	24	0.056901638	0.029767254	480	476	0.991666667	24	23	0.958333333	476	446	0.936974790	476	0.327190747	0.145261497	4403	4140	0.940267999
