id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	24	24	3.091057245	0.128794052	1	24	24	24	0.024512635	-0.014482683	480	475	0.989583333	24	24	1.000000000	475	444	0.934736842	475	0.366604068	0.164412665	4400	4145	0.942045455
case_001	24	24	8.587635312	0.357818138	1	23	24	24	0.054373255	0.014106587	480	475	0.989583333	24	23	0.958333333	475	439	0.924210526	475	0.270101153	-0.025201239	4392	4062	0.924863388
case_002	25	24	5.136403778	0.214016824	1	24	24	24	0.038359105	-0.000057702	480	478	0.995833333	24	24	1.000000000	478	444	0.928870293	478	0.258013216	0.047272591	4455	4228	0.949046016
case_003	25	24	2.702726717	0.112613613	1	24	24	24	0.017351153	0.009427961	480	480	1.000000000	24	24	1.000000000	480	455	0.947916667	480	0.262764240	-0.001377863	4476	4193	0.936773905
case_004	22	24	5.132299901	0.213845829	1	24	24	24	0.032104635	0.018284951	480	480	1.000000000	24	24	1.000000000	480	453	0.943750000	480	0.283767165	-0.233381369	4491	4265	0.949677132
case_005	20	24	4.162427041	0.173434460	0	0	24	24	0.031458982	-0.022236134	480	479	0.997916667	24	23	0.958333333	479	453	0.945720251	479	0.242545245	0.123900623	4478	4212	0.940598481
case_006	24	24	3.412206763	0.142175282	1	24	24	24	0.037838969	-0.037535856	480	480	1.000000000	24	24	1.000000000	480	442	0.920833333	480	0.298405692	0.181315507	4489	4236	0.943640009
case_007	21	24	8.443252029	0.351802168	1	18	24	24	0.049172455	-0.027476439	480	478	0.995833333	24	23	0.958333333	478	442	0.924686192	478	0.243812287	0.012095797	4446	4178	0.939721098
case_008	26	24	8.218582698	0.342440946	1	9	24	24	0.072322553	-0.021341596	480	479	0.997916667	24	21	0.875000000	479	450	0.939457203	479	0.281148314	-0.125879852	4481	4197	0.936621290
case_009	21	24	5.652459904	0.235519163	1	23	24	24	0.052974576	-0.023788649	480	478	0.995833333	24	23	0.958333333	478	449	0.939330544	478	0.307480474	-0.085324899	4455	4154	0.932435466
case_010	29	24	3.663408682	0.152642028	1	24	24	24	0.043393447	0.003452501	480	478	0.995833333	24	24	1.000000000	478	448	0.937238494	478	0.365076248	0.126721855	4458	4163	0.933826828
case_011	26	24	4.567895268	0.190328970	1	24	24	24	0.021409131	-0.015047445	480	469	0.977083333	24	24	1.000000000	469	440	0.938166311	469	0.315159371	0.157976735	4283	3997	0.933224375
case_012	26	24	5.008694857	0.208695619	1	10	24	24	0.058323227	-0.036701210	480	479	0.997916667	24	21	0.875000000	479	440	0.918580376	479	0.413469717	-0.152074390	4468	4097	0.916965085
case_013	26	24	7.038440573	0.293268357	0	0	24	24	0.074170146	-0.055283955	480	480	1.000000000	24	22	0.916666667	480	443	0.922916667	480	0.334832139	-0.025472135	4482	4161	0.928380187
case_014	27	24	6.745144061	0.281047669	1	24	24	24	0.031663311	-0.011049630	480	478	0.995833333	24	24	1.000000000	478	441	0.922594142	478	0.230274660	-0.029392717	4450	4205	0.944943820
case_015	26	24	6.181977907	0.257582413	1	17	24	24	0.051288487	-0.022959324	480	474	0.987500000	24	22	0.916666667	474	435	0.917721519	474	0.363423342	0.197815604	4362	4011	0.919532325
case_016	25	24	7.272442606	0.303018442	0	0	24	24	0.115975467	-0.069251207	480	477	0.993750000	24	23	0.958333333	477	399	0.836477987	477	0.840348804	-0.402685362	4437	3780	0.851926978
case_017	32	24	4.998998934	0.208291622	1	24	24	24	0.032484092	-0.005726363	480	478	0.995833333	24	24	1.000000000	478	437	0.914225941	478	0.301693402	0.002590650	4451	4135	0.929004718
case_018	28	24	4.084726751	0.170196948	1	24	24	24	0.032231347	-0.007177381	480	480	1.000000000	24	24	1.000000000	480	458	0.954166667	480	0.303537563	-0.009820338	4489	4165	0.927823569
case_019	23	24	4.717413601	0.196558900	1	24	24	24	0.029265830	-0.005723001	480	472	0.983333333	24	24	1.000000000	472	439	0.930084746	472	0.333948795	0.041758946	4332	4001	0.923591874
